Read data from AGS file,,,,,,,,,,,,,Igneous Rocks,,Sedimentary Rocks,,Metamorphic Rocks,
,,,,,,LEGEND,,,R,G,B,,AMPHIBOLITE,,ARKOSE,,AMPHIBOLITE,
,,,,,,WASH BORING,WB,#NAME?,255,255,255,,ANDESITE,,BRECCIA,,BLUESCHIST,
,,,,,,FILL,FILL,#NAME?,255,255,0,,ANORTHOSITE,,CHERT,,ECLOGITE,
,,,,,,ROCK FILL,RFILL,#NAME?,255,230,153,,APLITE,,COAL,,EPIDIORITE,
,,,,,,Alluvium (CLAY),AL-C,#NAME?,198,224,180,,BASALT,,CONCRETION,,EPIDOSITE,
,,,,,,Alluvium (SAND),AL-G,#NAME?,169,208,142,,BASANITE,,CONGLOMERATE,,GNEISS,
,,,,,,Marine Deposits (CLAY),MD-C,#NAME?,242,242,242,,CARBONATITE,,COQUINA,,GRANULITE,
,,,,,,Marine Deposits (SAND),MD-G,#NAME?,217,217,217,,CHARNOCKITE,,DIATOMITE,,GREENSCHIST,
,,,,,,Colluvium,CL,#NAME?,,,,,DACITE,,DOLOMITE,,GREENSTONE,
,,,,,,CD Sedimentary Rock,CDS,#NAME?,204,153,0,,DIABASE,,EVAPORITE,,HORNFELS,
,,,,,,HD Sedimentary Rock,HDS,#NAME?,153,102,0,,DIORITE,,FLINT,,JASPEROID,
,,,,,,MD Sedimentary Rock,MDS,#NAME?,153,0,0,,DUNITE,,GEODE,,JASPILLITE,
,,,,,,SD Sedimentary Rock,SDS,#NAME?,128,0,0,,ESSEXITE,,GREYWACKE,,MARBLE,
,,,,,,CD Igneous Rock,CDI,#NAME?,210,151,255,,FOIDOLITE,,LIMESTONE,,MIGMATITE,
,,,,,,HD Igneous Rock,HDI,#NAME?,192,109,255,,GABBRO,,MARL,,MYLONITE,
,,,,,,MD Igneous Rock,MDI,#NAME?,162,37,255,,GRANITE,,MUDSTONE,,NOVACULITE,
,,,,,,SD Igneous Rock,SDI,#NAME?,114,0,200,,GRANODIORITE,,PETOSKEY STONE,,PHYLLITE,
,,,,,,CD Metamorphic Rock,CDM,#NAME?,102,204,255,,GRANOPHYRE,,SANDSTONE,,QUARTZITE,
,,,,,,HD Metamorphic Rock,HDM,#NAME?,51,153,255,,HARZBURGITE,,SHALE,,SCHIST,
,,,,,,MD Metamorphic Rock,MDM,#NAME?,0,102,255,,HORNBLENDITE,,SILTSTONE,,SERPENTINITE,
,,,,,,SD Metamorphic Rock,SDM,#NAME?,0,0,255,,IGNIMBRITE,,TURBIDITE,,SKARN,
,,,,,,VEIN,VEIN,#NAME?,255,0,0,,IJOLITE,,WACKESTONE,,SLATE,
,,,,,,OTHER,OTHER,#NAME?,51,153,51,,KIMBERLITE,,,,,
,,,,,,,,,,,,,KOMATIITE,,,,,
,,,,,,,,,,,,,LAMPROITE,,,,,
,,,,,,,,,,,,,LAMPROPHYRE,,,,,
,,,,,,,,,,,,,LATITE,,,,,
,,,,,,,,,,,,,LHERZOLITE,,,,,
,,,,,,,,,,,,,LUXULLIANITE,,,,,
,,,,,,,,,,,,,MONZONITE,,,,,
,,,,,,,,,,,,,NEPHELINE SYENITE,,,,,
,,,,,,,,,,,,,NEPHELINITE,,,,,
,,,,,,,,,,,,,NORITE,,,,,
,,,,,,,,,,,,,OBSIDIAN,,,,,
,,,,,,,,,,,,,OPHIOLITE,,,,,
,,,,,,,,,,,,,PEGMATITE,,,,,
,,,,,,,,,,,,,PERIDOTITE,,,,,
,,,,,,,,,,,,,PHONOLITE,,,,,
,,,,,,,,,,,,,PICRITE,,,,,
,,,,,,,,,,,,,PORPHYRY,,,,,
,,,,,,,,,,,,,PUMICE,,,,,
,,,,,,,,,,,,,PYROXENITE,,,,,
,,,,,,,,,,,,,QUARTZ MONZONITE,,,,,
,,,,,,,,,,,,,RAPAKIVI GRANITE,,,,,
,,,,,,,,,,,,,RHYODACITE,,,,,
,,,,,,,,,,,,,RHYOLITE,,,,,
,,,,,,,,,,,,,RHOMB PORPHYRY,,,,,
,,,,,,,,,,,,,SCORIA,,,,,
,,,,,,,,,,,,,SYENITE,,,,,
,,,,,,,,,,,,,TACHYLYTE,,,,,
,,,,,,,,,,,,,TACONITE,,,,,
,,,,,,,,,,,,,TEPHRITE,,,,,
,,,,,,,,,,,,,THERALITE,,,,,
,,,,,,,,,,,,,TONALITE,,,,,
,,,,,,,,,,,,,TRACHYTE,,,,,
,,,,,,,,,,,,,TROCTOLITE,,,,,
,,,,,,,,,,,,,TRONDHJEMITE,,,,,
,,,,,,,,,,,,,TUFF,,,,,
